Solving for objective max_perf with perfLB=10.0 Gflop/s, areaUB=1000.0 mm2, powerUB=10000000000.0 W

######################################################
List of objective values:
1. ['Intel Core i9-13900K', 'DDR4-3200', '1x L3s', '0.25 App. AI, 100.0 MB Workset']: 7.6593e+09
2. ['Intel Core i9-13900K', 'HBM2', '1x L3s', '0.25 App. AI, 100.0 MB Workset']: 7.6593e+09
3. ['Intel Core i9-13900K', 'DDR4-3200', '2x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.5319e+10
4. ['Intel Core i9-13900K', 'HBM2', '2x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.5319e+10
5. ['Intel Core i9-13900K', 'DDR4-3200', '3x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2978e+10
6. ['Intel Core i9-13900K', 'HBM2', '3x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2978e+10
7. ['Intel Core i9-13900K', 'DDR4-3200', '4x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.8172e+10
8. ['Intel Core i9-13900K', 'HBM2', '4x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.0637e+10
9. ['Intel Core i9-13900K', 'DDR4-3200', '5x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.8729e+10
10. ['Intel Core i9-13900K', 'HBM2', '5x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.8297e+10
11. ['Intel Core i9-13900K', 'DDR4-3200', '6x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.9309e+10
12. ['Intel Core i9-13900K', 'HBM2', '6x L3s', '0.25 App. AI, 100.0 MB Workset']: 4.5956e+10
13. ['Intel Core i9-13900K', 'DDR4-3200', '7x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.9913e+10
14. ['Intel Core i9-13900K', 'HBM2', '7x L3s', '0.25 App. AI, 100.0 MB Workset']: 5.3615e+10
15. ['Intel Core i9-13900K', 'DDR4-3200', '8x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.0542e+10
16. ['Intel Core i9-13900K', 'HBM2', '8x L3s', '0.25 App. AI, 100.0 MB Workset']: 6.1275e+10
17. ['Intel Core i9-13900K', 'DDR4-3200', '9x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.1198e+10
18. ['Intel Core i9-13900K', 'HBM2', '9x L3s', '0.25 App. AI, 100.0 MB Workset']: 6.8934e+10
19. ['Intel Core i9-13900K', 'DDR4-3200', '10x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.1883e+10
20. ['Intel Core i9-13900K', 'HBM2', '10x L3s', '0.25 App. AI, 100.0 MB Workset']: 7.6593e+10
21. ['Intel Core i9-13900K', 'DDR4-3200', '11x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.2598e+10
22. ['Intel Core i9-13900K', 'HBM2', '11x L3s', '0.25 App. AI, 100.0 MB Workset']: 8.4252e+10
23. ['Intel Core i9-13900K', 'DDR4-3200', '12x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.3347e+10
24. ['Intel Core i9-13900K', 'HBM2', '12x L3s', '0.25 App. AI, 100.0 MB Workset']: 9.1912e+10
25. ['Intel Core i9-13900K', 'DDR4-3200', '13x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.4130e+10
26. ['Intel Core i9-13900K', 'HBM2', '13x L3s', '0.25 App. AI, 100.0 MB Workset']: 9.9571e+10
27. ['Intel Core i9-13900K', 'DDR4-3200', '14x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.4952e+10
28. ['Intel Core i9-13900K', 'HBM2', '14x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.0723e+11
29. ['Intel Core i9-13900K', 'DDR4-3200', '15x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.5813e+10
30. ['Intel Core i9-13900K', 'HBM2', '15x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.1489e+11
31. ['Intel Core i9-13900K', 'DDR4-3200', '16x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.6719e+10
32. ['Intel Core i9-13900K', 'HBM2', '16x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.2255e+11
33. ['Intel Core i9-13900K', 'DDR4-3200', '17x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.7671e+10
34. ['Intel Core i9-13900K', 'HBM2', '17x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.3021e+11
35. ['Intel Core i9-13900K', 'DDR4-3200', '18x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.8674e+10
36. ['Intel Core i9-13900K', 'HBM2', '18x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.3787e+11
37. ['Intel Core i9-13900K', 'DDR4-3200', '19x L3s', '0.25 App. AI, 100.0 MB Workset']: 3.9732e+10
38. ['Intel Core i9-13900K', 'HBM2', '19x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.4553e+11
39. ['Intel Core i9-13900K', 'DDR4-3200', '20x L3s', '0.25 App. AI, 100.0 MB Workset']: 4.0850e+10
40. ['Intel Core i9-13900K', 'HBM2', '20x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.5319e+11
41. ['Intel Core i9-13900K', 'DDR4-3200', '21x L3s', '0.25 App. AI, 100.0 MB Workset']: 4.2032e+10
42. ['Intel Core i9-13900K', 'HBM2', '21x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.6085e+11
43. ['Intel Core i9-13900K', 'DDR4-3200', '22x L3s', '0.25 App. AI, 100.0 MB Workset']: 4.3284e+10
44. ['Intel Core i9-13900K', 'HBM2', '22x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.6850e+11
45. ['Intel Core i9-13900K', 'DDR4-3200', '23x L3s', '0.25 App. AI, 100.0 MB Workset']: 4.4614e+10
46. ['Intel Core i9-13900K', 'HBM2', '23x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.7616e+11
47. ['Intel Core i9-13900K', 'DDR4-3200', '24x L3s', '0.25 App. AI, 100.0 MB Workset']: 4.6028e+10
48. ['Intel Core i9-13900K', 'HBM2', '24x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.8382e+11
49. ['Intel Core i9-13900K', 'DDR4-3200', '25x L3s', '0.25 App. AI, 100.0 MB Workset']: 4.7534e+10
50. ['Intel Core i9-13900K', 'HBM2', '25x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.9148e+11
51. ['Intel Core i9-13900K', 'DDR4-3200', '26x L3s', '0.25 App. AI, 100.0 MB Workset']: 4.9142e+10
52. ['Intel Core i9-13900K', 'HBM2', '26x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.9914e+11
53. ['Intel Core i9-13900K', 'DDR4-3200', '27x L3s', '0.25 App. AI, 100.0 MB Workset']: 5.0863e+10
54. ['Intel Core i9-13900K', 'HBM2', '27x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.0680e+11
55. ['Intel Core i9-13900K', 'DDR4-3200', '28x L3s', '0.25 App. AI, 100.0 MB Workset']: 5.2709e+10
56. ['Intel Core i9-13900K', 'HBM2', '28x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.1446e+11
57. ['Intel Core i9-13900K', 'DDR4-3200', '29x L3s', '0.25 App. AI, 100.0 MB Workset']: 5.4694e+10
58. ['Intel Core i9-13900K', 'HBM2', '29x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2212e+11
59. ['Intel Core i9-13900K', 'DDR4-3200', '30x L3s', '0.25 App. AI, 100.0 MB Workset']: 5.6834e+10
60. ['Intel Core i9-13900K', 'HBM2', '30x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
61. ['Intel Core i9-13900K', 'DDR4-3200', '31x L3s', '0.25 App. AI, 100.0 MB Workset']: 5.9149e+10
62. ['Intel Core i9-13900K', 'HBM2', '31x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
63. ['Intel Core i9-13900K', 'DDR4-3200', '32x L3s', '0.25 App. AI, 100.0 MB Workset']: 6.1660e+10
64. ['Intel Core i9-13900K', 'HBM2', '32x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
65. ['Intel Core i9-13900K', 'DDR4-3200', '33x L3s', '0.25 App. AI, 100.0 MB Workset']: 6.4394e+10
66. ['Intel Core i9-13900K', 'HBM2', '33x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
67. ['Intel Core i9-13900K', 'DDR4-3200', '34x L3s', '0.25 App. AI, 100.0 MB Workset']: 6.7381e+10
68. ['Intel Core i9-13900K', 'HBM2', '34x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
69. ['Intel Core i9-13900K', 'DDR4-3200', '35x L3s', '0.25 App. AI, 100.0 MB Workset']: 7.0659e+10
70. ['Intel Core i9-13900K', 'HBM2', '35x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
71. ['Intel Core i9-13900K', 'DDR4-3200', '36x L3s', '0.25 App. AI, 100.0 MB Workset']: 7.4272e+10
72. ['Intel Core i9-13900K', 'HBM2', '36x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
73. ['Intel Core i9-13900K', 'DDR4-3200', '37x L3s', '0.25 App. AI, 100.0 MB Workset']: 7.8275e+10
74. ['Intel Core i9-13900K', 'HBM2', '37x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
75. ['Intel Core i9-13900K', 'DDR4-3200', '38x L3s', '0.25 App. AI, 100.0 MB Workset']: 8.2734e+10
76. ['Intel Core i9-13900K', 'HBM2', '38x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
77. ['Intel Core i9-13900K', 'DDR4-3200', '39x L3s', '0.25 App. AI, 100.0 MB Workset']: 8.7731e+10
78. ['Intel Core i9-13900K', 'HBM2', '39x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
79. ['Intel Core i9-13900K', 'DDR4-3200', '40x L3s', '0.25 App. AI, 100.0 MB Workset']: 9.3371e+10
80. ['Intel Core i9-13900K', 'HBM2', '40x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
81. ['Intel Core i9-13900K', 'DDR4-3200', '41x L3s', '0.25 App. AI, 100.0 MB Workset']: 9.9785e+10
